hotel_city,hotel_name,hotel_star,hotel_district,hotel_address,hotel_languages,hotel_bbox,hotel_coordinates
Tbilisi,Avlabari Twin Apartment,0,"Avlabari, Tbilisi City","Ketevan Dedofali Avenue 15/17, apartment 5, Avlabari, 0103 Tbilisi City, Georgia","Russian, English","[('41.6766216707824', '44.781248755753'), ('41.7051723292176', '44.851585244247')]","(41.690897, 44.816417)"
Tbilisi,Romantic View,0,"Mtatsminda , Tbilisi City","Shio Chitadze Street, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6775540099736', '44.7477444608826'), ('41.7116172001878', '44.839731792627')]","(41.6945856050807, 44.7937381267548)"
Tbilisi,Deluxe Apartments at Ameri Plaza,0,"Saburtalo, Tbilisi City","76a Merab Kostava Street, Saburtalo, Saburtalo, 0171 Tbilisi City, Georgia","Turkish, Russian, Georgian, English, German","[('41.6872555037732', '44.7263268381358'), ('41.7592838657611', '44.8270102590322')]","(41.7232696847671, 44.776668548584)"
Tbilisi,Millenium Apartment,0,Tbilisi City,"Samghebro Street 5, 0105 Tbilisi City, Georgia","Russian, English","[('41.656136', '44.776772'), ('41.722748', '44.840822')]","(41.689442, 44.808797)"
Tbilisi,In Old Town,0,"Vera, Tbilisi City","Merab Kostava Street 21, suit-3, floor-4, Vera, 0113 Tbilisi City, Georgia","Russian, English","[('41.691978305779', '44.7626502'), ('41.719836094221', '44.813278')]","(41.7059072, 44.7879641)"
Tbilisi,Betlemi Apartment 41,0,Tbilisi City,"41 Betlemi Street, 0105 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6775631840952', '44.7955889'), ('41.7003432159048', '44.8213823')]","(41.6889532, 44.8084856)"
Tbilisi,Maria Apartment,0,Tbilisi City,"17 Vertskhli Street vertskhli street 17/10, 0105 Tbilisi City, Georgia","Russian, English","[('41.6828770749083', '44.7830279333461'), ('41.7054269250917', '44.8258380666539')]","(41.694152, 44.804433)"
Tbilisi,BFG Suites Leselidze,0,Tbilisi City,"Anton Katalikosi Street 3, 0105 Tbilisi City, Georgia","Russian, English","[('41.6793639', '44.7963049497375'), ('41.7055363', '44.8122863042297')]","(41.6924501, 44.8042956269836)"
Tbilisi,Dzmebi Kakabadzeebi 7,0,"Vera, Tbilisi City","Dzmebi Kakabadzeebi Street 7, Vera, 0108 Tbilisi City, Georgia",,"[('41.6848098', '44.763664'), ('41.721118', '44.815115')]","(41.7029639, 44.7893895)"
Tbilisi,Wine Hills,0,Tbilisi City,"4 Teleti Street 1, 0105 Tbilisi City, Georgia","Russian, English, German","[('41.6671525834269', '44.7928544424751'), ('41.7030834165731', '44.8410555575249')]","(41.685118, 44.816955)"
Tbilisi,Royal District Apt ♛ Tbilisi Center,0,Tbilisi City,"1/17 Mikheil Lermontovi Street 2nd floor, 0105 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6871104973027', '44.7963049497375'), ('41.6957495026973', '44.8099790502625')]","(41.69143, 44.803142)"
Tbilisi,Lika Apartments,0,Tbilisi City,"Machabeli Street 3, Sololaki, 0105 Tbilisi City, Georgia","Russian, Georgian, English, Greek","[('41.6859381731176', '44.7870199251619'), ('41.6980184384405', '44.8124455288053')]","(41.691978305779, 44.7997327269836)"
Tbilisi,Duplex Opera3,0,"Mtatsminda , Tbilisi City","36 Dzmebi Zubalashvilebi Street, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, English","[('41.6815855834269', '44.7697150342511'), ('41.7175164165731', '44.8179269657489')]","(41.699551, 44.793821)"
Tbilisi,Apartment Paysage,0,"Avlabari, Tbilisi City","Винный подъём №3 , Avlabari, 0103 Tbilisi City, Georgia","Russian, Georgian, English","[('41.681787895985', '44.7875207662582'), ('41.7017582121722', '44.8375189662828')]","(41.6917730540786, 44.8125198662705)"
Tbilisi,Comfort Apartment,0,"Saburtalo, Tbilisi City","Alexander Kazbegi Avenue 32 kv25, Saburtalo, 0177 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6909764746237', '44.6911133779098'), ('41.7587265253763', '44.8141606220902')]","(41.7248515, 44.752637)"
Tbilisi,Hotel Tiflis Garden,0,"Avlabari, Tbilisi City","Dedoplistskaro Street, Turn II, N. 6 Avlabari, Avlabari, 0103 Tbilisi City, Georgia","Russian, Georgian, English","[('41.687477', '44.805554'), ('41.7012094010114', '44.8395811617279')]","(41.6943432005057, 44.822567580864)"
Tbilisi,Your Home in Tbilisi,0,"Vake, Tbilisi City","17 Ilia Chavchavadze Avenue, Tbilisi, Georgia, Vake, 0179 Tbilisi City, Georgia","Ukrainian, Russian, English","[('41.6868872832484', '44.7224468551576'), ('41.732077756511', '44.8191059567034')]","(41.7094825198797, 44.7707764059305)"
